is_iceberg0,is_iceberg1,is_iceberg2,is_iceberg3,is_iceberg4,is_iceberg5,is_iceberg6,is_iceberg7,is_iceberg8,is_iceberg9,is_iceberg10,is_iceberg11,is_iceberg12,is_iceberg13,is_iceberg14
0.009645000100135803,0.003963463474065065,0.014832701534032822,0.009071444161236286,0.007893458940088749,0.010120218619704247,0.017735477536916733,0.0038120595272630453,0.006019906140863895,0.0022463088389486074,0.009584805928170681,0.013587357476353645,0.005240404978394508,0.009048792533576488,0.014111178927123547
0.9087952375411987,0.8803648352622986,0.8552548289299011,0.8109281659126282,0.8557819128036499,0.7882583141326904,0.847374439239502,0.9315330386161804,0.9465377926826477,0.9507914781570435,0.8615373969078064,0.9347163438796997,0.8412911891937256,0.9464592933654785,0.8882301449775696
0.02801620587706566,0.0002121234720107168,0.0007122841197997332,0.0024699911009520292,0.0002991650835610926,0.023144759237766266,0.000797194370534271,0.2618250846862793,0.0034397083800286055,0.0011777293402701616,0.008209383115172386,0.0007389906677417457,0.0017537776147946715,0.0040702191181480885,0.04440538212656975
0.9967498779296875,0.9981114864349365,0.9944719076156616,0.9961169958114624,0.9982712268829346,0.9951359629631042,0.9717085957527161,0.9925659894943237,0.9952389001846313,0.9994148015975952,0.9944135546684265,0.995740532875061,0.996283233165741,0.9976691603660583,0.9979514479637146
0.06044517457485199,0.09123324602842331,0.020914267748594284,0.013424591161310673,0.0019465930527076125,0.05066066235303879,0.19707129895687103,0.0030634168069809675,0.10103854537010193,0.02034144662320614,0.022427551448345184,0.0486292764544487,0.022495673969388008,0.005974980536848307,0.0034854409750550985
0.951880931854248,0.924543023109436,0.8951262831687927,0.937045156955719,0.9912316203117371,0.9625760912895203,0.7802281379699707,0.9880204796791077,0.8753868341445923,0.9839591383934021,0.9490968585014343,0.9823624491691589,0.9221947193145752,0.9397444128990173,0.9801546931266785
0.04382000491023064,0.0016907387180253863,0.029522620141506195,0.0076277004554867744,0.007743994239717722,0.004695763811469078,0.016225941479206085,0.03583875298500061,0.0234348364174366,0.003354004817083478,0.0055409446358680725,0.029779257252812386,0.014765125699341297,0.004430992063134909,0.005093314219266176
0.9989262223243713,0.9995560050010681,0.9981018900871277,0.9988002777099609,0.9988445043563843,0.9988105297088623,0.9858497381210327,0.998004138469696,0.9988875985145569,0.9995181560516357,0.9976929426193237,0.9991703033447266,0.998606264591217,0.9985974431037903,0.9992344379425049
0.0021397348027676344,0.0006284868577495217,0.0008877148502506316,0.0017814718885347247,0.00340734189376235,0.0018039295682683587,0.00020977604435756803,0.0006764286081306636,0.0019154123729094863,0.0013793067773804069,0.0019838714506477118,0.001716080354526639,0.001983834430575371,0.0008170903311111033,0.0009078541188500822
0.0005551583599299192,0.0003351491177454591,0.0004257837135810405,0.00032581487903371453,0.0004952437011525035,0.0003980920009780675,0.0001373179693473503,0.00032619189005345106,0.0010559280635789037,9.946942009264603e-05,0.0008219918818213046,0.00047593645285815,0.0006447858759202063,0.00034339065314270556,0.0004368048394098878
