is_iceberg0,is_iceberg1,is_iceberg2,is_iceberg3,is_iceberg4,is_iceberg5
0.010430709458887577,0.004632157739251852,0.025972502306103706,0.010132047347724438,0.05342100188136101,0.014647942036390305
0.20547017455101013,0.039498113095760345,0.1815202832221985,0.02419605664908886,0.14327628910541534,0.05065411329269409
0.0,0.0,1.0288418061972098e-32,0.0,0.0,0.0
0.9996823072433472,0.9992524981498718,0.9982763528823853,0.9998051524162292,0.9861418604850769,0.9998985528945923
0.0003672870807349682,0.0029932146426290274,0.17028586566448212,7.763539906591177e-05,0.03374234214425087,0.0027337551582604647
4.717198316939175e-05,0.026592928916215897,3.45160806318745e-05,9.152630875419732e-10,7.397654359678446e-16,0.891890287399292
0.05401819571852684,0.1148480549454689,0.02967975102365017,0.0800909772515297,0.14119170606136322,0.19935640692710876
0.99960857629776,0.9998772144317627,0.992946445941925,0.9996054768562317,0.9963542222976685,0.9999971389770508
1.8554170537754544e-06,3.518522362355725e-08,8.994356370806145e-09,1.5193746776276384e-06,2.1965210805774404e-07,3.0943186381249266e-12
2.6280469770864623e-13,1.6890991383355924e-10,2.311664062220623e-21,6.809229956618909e-20,1.5195961325283035e-17,3.6541670387455436e-22
6.058526458296853e-10,1.3397251086288975e-09,3.5726512026545976e-11,7.49309815584187e-12,8.427811226674464e-10,4.01429014192698e-18
0.23927338421344757,0.25610244274139404,0.1544380635023117,0.2494203746318817,0.24564553797245026,0.20294266939163208
0.010675068944692612,0.002808886580169201,0.004423515871167183,0.005542668979614973,0.011951038613915443,0.001691340934485197
0.17592822015285492,0.21217679977416992,0.32392558455467224,0.2964618504047394,0.32208630442619324,0.3244479298591614
7.67847723182058e-08,0.00030448901816271245,0.9976639747619629,6.647704594797688e-06,0.020454710349440575,0.9751487374305725
2.1631864001392387e-05,0.004373096860945225,0.018023448064923286,0.0006321925902739167,0.009179760701954365,0.000981935067102313
0.0015891940565779805,0.0034465070348232985,0.7207235097885132,0.00679028918966651,0.009872847236692905,0.0044593061320483685
2.6323114798998404e-09,3.706199080966144e-08,0.8394173979759216,3.4412469318567673e-08,8.549843187211081e-06,3.0914143280824646e-05
1.1619425066555777e-07,2.215324275312014e-05,0.9836106300354004,6.319661594034187e-08,8.61304761201609e-06,0.00029423978412523866
0.987701952457428,0.9489989876747131,0.8813185095787048,0.9707721471786499,0.8732036352157593,0.9967670440673828
4.021875383841689e-07,6.285423296503723e-06,0.008904761634767056,8.299069875761234e-09,0.006638014689087868,1.957596623469726e-06
0.48746591806411743,0.34160682559013367,0.6543956398963928,0.39450564980506897,0.6845534443855286,0.4694865345954895
